symbol,name,type
OMPL,Om Megashree Pharmaceuticals Limited,equity
ORIENTAL,The Oriental Insurance Company Limited,equity
OTHERS,Others,index
PBD84,10.15% Prime Debenture 2084,bond
PBD85,"8 years, 8.75% Prime Debenture 2085",bond
PBD88,10% Prime Debenture 2088,bond
PBD93,6.25% Prime Bank Debenture 2093,bond
PBLD84,10% Prabhu Bank Debenture 2084,bond
PBLD86,10.25% Prabhu Bank Debenture 2086,bond
PBLD87,Prabhu Bank Debenture 2087,bond
PCBL,Prime Commercial Bank Ltd.,equity
PCBLP,Prime Commercial Bank Promoter Share,promoter
PCIL,Palpa Cement Industries Limited,equity
PDBLPO,Paschimanchal Bikash Bank Ltd. Promoter Share,promoter
PFL,Pokhara Finance Ltd.,equity
PFLPO,Pokhara Finance Company Limited Promoter Share,promoter
PHCL,Peoples Hydropower Company Limited,equity
PIC,Premier Insurance Co. Ltd.,equity
PICL,Prudential Insurance Co. Ltd.,equity
PICLPO,Prudential Insurance Co. Ltd. Promoter Share,promoter
PICPO,Premier Insurance Co. Ltd. Promoter Share,promoter
PLIC,Prime Life Insurance Company Limited,equity
PLICPO,Prime Life Insurance Company Limited Promoter Share,promoter
PMHPL,Panchakanya Mai Hydropower Ltd,equity
PMLI,Prabhu Mahalaxmi Life Insurance Ltd,equity
PPCL,Panchthar Power Company Limited,equity
PPL,People`s Power Limited,equity
PRFLPO,Prabhu Finance Ltd. Promoter Share,promoter
PRIN,Prabhu Insurance Ltd.,equity
PRINPO,Prabhu Insurance Company Ltd. Promoter,promoter
PROFL,ProgressiveFinance Limited,equity
PROFLP,Progressive Finance Limited Promoter Share,promoter
PRSF,Prabhu Smart Fund,fund
PRVU,Prabhu Bank Limited,equity
PRVUPO,Prabhu Bank Limited Promoter Share,promoter
PSDBLP,Pashupati Development Bank Limited Promoter Share,promoter
PSF,Prabhu Select Fund,fund
